0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:23 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:24 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples/WEB-INF HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:24 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:24 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples/WEB-INF HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:24 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:24 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples/WEB-INF/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:24 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:24 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:24 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:24 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:24 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:24 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:24 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:25 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:25 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:25 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:25 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:25 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:25 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
