0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:52 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:52 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:52 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:52 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:52 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:52 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:52 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:53 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:53 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:53 -0600] "PROPFIND /C$/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:53 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj/Phone.html HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:53 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:03 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj/Checkout.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:03 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:03 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj/Checkout.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:03 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:03 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj/Checkout.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:03 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:04 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj/Checkout.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:04 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:04 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj/Checkout.jsp/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:04 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:04 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:04 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:04 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:04 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:04 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:04 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:04 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:04 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
